Data as of,Start week,End Week,HHS Region,State,Place of Death,Age group,All Deaths involving COVID-19 (U07.1),Deaths from All Causes,"Deaths involving Pneumonia, with or without COVID-19, excluding Influenza deaths
(J12.0–J18.9)","Deaths involving COVID-19 and Pneumonia, excluding Influenza (U07.1 and J12.0–J18.9)"
07/23/2020,02/01/2020,07/18/2020,0,United States,Place of death unknown,65-74 years,293,9701,644,152
07/23/2020,02/01/2020,07/18/2020,0,United States,Place of death unknown,75-84 years,296,11683,717,137
07/23/2020,02/01/2020,07/18/2020,0,United States,Place of death unknown,85 years and over,280,14539,753,123
07/23/2020,02/01/2020,07/18/2020,0,United States,Decedent's home,0-14 years,3,1560,28,0
07/23/2020,02/01/2020,07/18/2020,0,United States,Decedent's home,15-44 years,447,28860,341,55
07/23/2020,02/01/2020,07/18/2020,0,United States,Decedent's home,45-64 years,1837,98187,1588,264
07/23/2020,02/01/2020,07/18/2020,0,United States,Decedent's home,65-74 years,1341,100243,1682,199
07/23/2020,02/01/2020,07/18/2020,0,United States,Decedent's home,75-84 years,1320,114999,2291,251
07/23/2020,02/01/2020,07/18/2020,0,United States,Decedent's home,85 years and over,1655,129905,3421,425
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Hospice facility,15-44 years,,23,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Hospice facility,45-64 years,,170,13,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Hospice facility,65-74 years,,229,16,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Hospice facility,75-84 years,,267,23,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Hospice facility,85 years and over,,266,19,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, dead on arrival",45-64 years,,13,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, inpatient",0-14 years,,110,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, inpatient",15-44 years,32,387,48,15
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, inpatient",45-64 years,208,1785,311,58
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, inpatient",65-74 years,254,1744,339,93
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, inpatient",75-84 years,237,1784,386,94
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, inpatient",85 years and over,171,1154,286,78
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, outpatient or emergency room",0-14 years,,61,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, outpatient or emergency room",15-44 years,,265,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, outpatient or emergency room",45-64 years,15,513,16,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, outpatient or emergency room",65-74 years,14,381,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, outpatient or emergency room",75-84 years,10,311,11,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,"Healthcare setting, outpatient or emergency room",85 years and over,,201,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Nursing home/longterm care facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Nursing home/longterm care facility,45-64 years,,186,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Nursing home/longterm care facility,65-74 years,28,428,14,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Nursing home/longterm care facility,75-84 years,51,808,27,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Nursing home/longterm care facility,85 years and over,107,1517,46,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Other,0-14 years,,15,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Other,15-44 years,,437,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Other,45-64 years,,360,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Other,65-74 years,,145,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Other,75-84 years,,169,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Other,85 years and over,,198,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Place of death unknown,0-14 years,,16,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Place of death unknown,15-44 years,,181,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Place of death unknown,45-64 years,25,572,21,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Place of death unknown,65-74 years,17,530,29,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Place of death unknown,75-84 years,25,632,34,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Place of death unknown,85 years and over,22,540,42,11
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Decedent's home,0-14 years,,20,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Decedent's home,15-44 years,,450,,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Decedent's home,45-64 years,18,2046,16,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Decedent's home,65-74 years,11,2129,12,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Decedent's home,75-84 years,10,2573,25,
07/23/2020,02/01/2020,07/18/2020,4,Alabama,Decedent's home,85 years and over,10,2451,17,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Hospice facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Hospice facility,45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Hospice facility,65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Hospice facility,75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Hospice facility,85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, dead on arrival",45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, inpatient",0-14 years,,10,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, inpatient",15-44 years,,37,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, inpatient",45-64 years,,143,16,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, inpatient",65-74 years,,152,14,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, inpatient",75-84 years,,139,13,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, inpatient",85 years and over,,86,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, outpatient or emergency room",0-14 years,,10,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, outpatient or emergency room",15-44 years,,21,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, outpatient or emergency room",45-64 years,,37,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, outpatient or emergency room",65-74 years,,26,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, outpatient or emergency room",75-84 years,,12,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,"Healthcare setting, outpatient or emergency room",85 years and over,,12,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Nursing home/longterm care facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Nursing home/longterm care facility,45-64 years,,11,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Nursing home/longterm care facility,65-74 years,,34,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Nursing home/longterm care facility,75-84 years,,57,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Nursing home/longterm care facility,85 years and over,,78,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Other,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Other,15-44 years,,67,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Other,45-64 years,,32,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Other,65-74 years,,25,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Other,75-84 years,,15,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Other,85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Place of death unknown,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Place of death unknown,15-44 years,,10,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Place of death unknown,45-64 years,,36,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Place of death unknown,65-74 years,,33,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Place of death unknown,75-84 years,,30,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Place of death unknown,85 years and over,,22,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Decedent's home,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Decedent's home,15-44 years,,78,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Decedent's home,45-64 years,,191,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Decedent's home,65-74 years,,153,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Decedent's home,75-84 years,,157,,
07/23/2020,02/01/2020,07/18/2020,10,Alaska,Decedent's home,85 years and over,,140,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Hospice facility,15-44 years,,82,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Hospice facility,45-64 years,18,494,29,11
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Hospice facility,65-74 years,21,636,43,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Hospice facility,75-84 years,63,838,93,26
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Hospice facility,85 years and over,75,860,91,28
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, dead on arrival",45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, inpatient",0-14 years,,169,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, inpatient",15-44 years,97,584,96,61
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, inpatient",45-64 years,370,1877,433,217
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, inpatient",65-74 years,354,1875,517,243
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, inpatient",75-84 years,399,1990,586,272
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, inpatient",85 years and over,287,1236,369,183
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, outpatient or emergency room",0-14 years,,54,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, outpatient or emergency room",15-44 years,12,356,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, outpatient or emergency room",45-64 years,14,465,18,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, outpatient or emergency room",65-74 years,21,365,17,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, outpatient or emergency room",75-84 years,16,281,22,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,"Healthcare setting, outpatient or emergency room",85 years and over,,153,20,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Nursing home/longterm care facility,15-44 years,,12,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Nursing home/longterm care facility,45-64 years,16,190,17,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Nursing home/longterm care facility,65-74 years,40,380,29,10
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Nursing home/longterm care facility,75-84 years,76,575,55,30
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Nursing home/longterm care facility,85 years and over,127,926,89,48
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Other,0-14 years,,15,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Other,15-44 years,,675,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Other,45-64 years,15,834,25,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Other,65-74 years,21,844,30,10
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Other,75-84 years,53,1661,68,19
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Other,85 years and over,91,2819,99,25
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Place of death unknown,0-14 years,,11,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Place of death unknown,15-44 years,,130,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Place of death unknown,45-64 years,57,329,43,36
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Place of death unknown,65-74 years,49,339,55,33
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Place of death unknown,75-84 years,40,356,42,25
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Place of death unknown,85 years and over,32,425,35,21
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Decedent's home,0-14 years,,46,,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Decedent's home,15-44 years,,673,12,
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Decedent's home,45-64 years,42,1899,46,16
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Decedent's home,65-74 years,29,2414,57,11
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Decedent's home,75-84 years,37,3082,92,14
07/23/2020,02/01/2020,07/18/2020,9,Arizona,Decedent's home,85 years and over,44,3075,115,18
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Hospice facility,15-44 years,,33,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Hospice facility,45-64 years,,228,11,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Hospice facility,65-74 years,,357,22,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Hospice facility,75-84 years,,472,33,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Hospice facility,85 years and over,,454,33,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, dead on arrival",45-64 years,,13,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, dead on arrival",65-74 years,,10,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, inpatient",0-14 years,,95,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, inpatient",15-44 years,16,219,34,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, inpatient",45-64 years,63,1004,184,35
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, inpatient",65-74 years,49,1015,158,31
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, inpatient",75-84 years,62,993,187,30
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, inpatient",85 years and over,44,624,140,19
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, outpatient or emergency room",0-14 years,,22,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, outpatient or emergency room",15-44 years,,181,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, outpatient or emergency room",45-64 years,,341,16,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, outpatient or emergency room",65-74 years,,266,10,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, outpatient or emergency room",75-84 years,,223,13,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,"Healthcare setting, outpatient or emergency room",85 years and over,,148,10,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Nursing home/longterm care facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Nursing home/longterm care facility,45-64 years,,112,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Nursing home/longterm care facility,65-74 years,,349,15,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Nursing home/longterm care facility,75-84 years,21,692,21,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Nursing home/longterm care facility,85 years and over,48,1320,59,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Other,0-14 years,,16,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Other,15-44 years,,294,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Other,45-64 years,,232,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Other,65-74 years,,105,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Other,75-84 years,,147,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Other,85 years and over,,159,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Place of death unknown,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Place of death unknown,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Place of death unknown,45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Place of death unknown,65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Place of death unknown,75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Place of death unknown,85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Decedent's home,0-14 years,,25,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Decedent's home,15-44 years,,305,,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Decedent's home,45-64 years,,1284,14,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Decedent's home,65-74 years,,1302,23,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Decedent's home,75-84 years,,1323,21,
07/23/2020,02/01/2020,07/18/2020,6,Arkansas,Decedent's home,85 years and over,,1109,27,
07/23/2020,02/01/2020,07/18/2020,9,California,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,California,Hospice facility,15-44 years,,36,,
07/23/2020,02/01/2020,07/18/2020,9,California,Hospice facility,45-64 years,,311,,
07/23/2020,02/01/2020,07/18/2020,9,California,Hospice facility,65-74 years,,405,15,
07/23/2020,02/01/2020,07/18/2020,9,California,Hospice facility,75-84 years,,563,27,
07/23/2020,02/01/2020,07/18/2020,9,California,Hospice facility,85 years and over,,690,34,
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, dead on arrival",45-64 years,,15,,
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, dead on arrival",65-74 years,,10,,
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, dead on arrival",75-84 years,,11,,
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, dead on arrival",85 years and over,,12,,
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, inpatient",0-14 years,,772,14,
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, inpatient",15-44 years,221,2327,360,133
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, inpatient",45-64 years,1236,9254,1875,760
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, inpatient",65-74 years,1295,9191,2228,805
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, inpatient",75-84 years,1379,10074,2709,902
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, inpatient",85 years and over,1413,9534,2841,886
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, outpatient or emergency room",0-14 years,,187,,
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, outpatient or emergency room",15-44 years,18,1216,31,
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, outpatient or emergency room",45-64 years,67,2126,106,20
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, outpatient or emergency room",65-74 years,38,1534,81,11
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, outpatient or emergency room",75-84 years,51,1471,108,19
07/23/2020,02/01/2020,07/18/2020,9,California,"Healthcare setting, outpatient or emergency room",85 years and over,57,1325,151,27
07/23/2020,02/01/2020,07/18/2020,9,California,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,9,California,Nursing home/longterm care facility,15-44 years,,82,,
07/23/2020,02/01/2020,07/18/2020,9,California,Nursing home/longterm care facility,45-64 years,26,1309,46,
